Date,Close,Adj Close
2011-07-20,63.759998,63.759998
2011-07-21,63.009998,63.009998
2011-07-22,63.439999,63.439999
2011-07-25,61.900002,61.900002
2011-07-26,62.860001,62.860001
2011-07-27,61.0,61.0
2011-07-28,61.68,61.68
2011-07-29,60.540001,60.540001
2011-08-01,62.150002,62.150002
2011-08-02,59.290001,59.290001
2011-08-03,60.470001,60.470001
2011-08-04,55.990002,55.990002
2011-08-05,53.57,53.57
2011-08-08,48.759998,48.759998
2011-08-09,50.439999,50.439999
2011-08-10,51.330002,51.330002
2011-08-11,53.830002,53.830002
2011-08-12,58.150002,58.150002
2011-08-15,58.57,58.57
2011-08-16,54.240002,54.240002
2011-08-17,52.57,52.57
2011-08-18,48.0,48.0
2011-08-19,46.0,46.0
2011-08-22,45.450001,45.450001
2011-08-23,50.619999,50.619999
2011-08-24,50.939999,50.939999
2011-08-25,49.119999,49.119999
2011-08-26,52.310001,52.310001
2011-08-29,55.240002,55.240002
2011-08-30,56.07,56.07
2011-08-31,54.73,54.73
2011-09-01,54.529999,54.529999
2011-09-02,53.150002,53.150002
2011-09-06,54.110001,54.110001
2011-09-07,56.650002,56.650002
2011-09-08,57.689999,57.689999
2011-09-09,55.060001,55.060001
2011-09-12,55.130001,55.130001
2011-09-13,57.25,57.25
2011-09-14,58.369999,58.369999
2011-09-15,58.560001,58.560001
2011-09-16,57.759998,57.759998
2011-09-19,60.709999,60.709999
2011-09-20,59.009998,59.009998
2011-09-21,56.91,56.91
2011-09-22,54.23,54.23
2011-09-23,55.77,55.77
2011-09-26,55.68,55.68
2011-09-27,55.869999,55.869999
2011-09-28,53.27,53.27
2011-09-29,51.91,51.91
2011-09-30,48.689999,48.689999
2011-10-03,44.799999,44.799999
2011-10-04,47.57,47.57
2011-10-05,50.200001,50.200001
2011-10-06,52.169998,52.169998
2011-10-07,50.939999,50.939999
2011-10-10,53.529999,53.529999
2011-10-11,53.18,53.18
2011-10-12,53.209999,53.209999
2011-10-13,52.959999,52.959999
2011-10-14,54.240002,54.240002
2011-10-17,52.529999,52.529999
2011-10-18,51.419998,51.419998
2011-10-19,50.220001,50.220001
2011-10-20,50.18,50.18
2011-10-21,50.099998,50.099998
2011-10-24,53.889999,53.889999
2011-10-25,51.75,51.75
2011-10-26,53.16,53.16
2011-10-27,57.580002,57.580002
2011-10-28,57.939999,57.939999
2011-10-31,56.48,56.48
2011-11-01,54.849998,54.849998
2011-11-02,55.759998,55.759998
2011-11-03,56.299999,56.299999
2011-11-04,55.98,55.98
2011-11-07,55.290001,55.290001
2011-11-08,57.459999,57.459999
2011-11-09,54.48,54.48
2011-11-10,53.98,53.98
2011-11-11,53.950001,53.950001
2011-11-14,52.709999,52.709999
2011-11-15,54.66,54.66
2011-11-16,51.689999,51.689999
2011-11-17,50.32,50.32
2011-11-18,49.060001,49.060001
2011-11-21,47.439999,47.439999
2011-11-22,47.009998,47.009998
2011-11-23,46.700001,46.700001
2011-11-25,46.259998,46.259998
2011-11-28,48.93,48.93
2011-11-29,47.759998,47.759998
2011-11-30,49.700001,49.700001
2011-12-01,47.169998,47.169998
2011-12-02,49.689999,49.689999
2011-12-05,48.360001,48.360001
2011-12-06,45.540001,45.540001
2011-12-07,45.299999,45.299999
2011-12-08,45.860001,45.860001
2011-12-09,47.799999,47.799999
2011-12-12,47.73,47.73
2011-12-13,44.810001,44.810001
2011-12-14,43.610001,43.610001
2011-12-15,45.130001,45.130001
2011-12-16,45.259998,45.259998
